CellType,Factor,ENCODE_BAM,ENCODE_BED,Model-k,Model-theta,Model-frac,Model-spot,Model-pcr,ModelFile
GM12878,KDM1A,ENCFF096UHS,ENCFF996RRT,15.30,13.64,0.00002,0.00037,0.94,s3://chipmunk-encode-models/GM12878_KDM1A_ENCFF096UHS_ENCFF996RRT-1.9.json
GM12878,KDM1A,ENCFF480CIF,ENCFF996RRT,12.63,16.28,0.00002,0.00055,0.90,s3://chipmunk-encode-models/GM12878_KDM1A_ENCFF480CIF_ENCFF996RRT-1.9.json
GM12878,MAFK,ENCFF271GYL,ENCFF689AXJ,21.07,8.96,0.00023,0.00925,0.95,s3://chipmunk-encode-models/GM12878_MAFK_ENCFF271GYL_ENCFF689AXJ-1.9.json
GM12878,MAFK,ENCFF469MLY,ENCFF689AXJ,21.15,8.77,0.00024,0.01240,0.96,s3://chipmunk-encode-models/GM12878_MAFK_ENCFF469MLY_ENCFF689AXJ-1.9.json
GM12878,MAX,ENCFF219JUC,ENCFF083KVY,18.28,9.54,0.00093,0.03054,0.97,s3://chipmunk-encode-models/GM12878_MAX_ENCFF219JUC_ENCFF083KVY-1.9.json
GM12878,MAX,ENCFF891AOD,ENCFF083KVY,17.88,9.64,0.00094,0.03632,0.96,s3://chipmunk-encode-models/GM12878_MAX_ENCFF891AOD_ENCFF083KVY-1.9.json
GM12878,MAZ,ENCFF308ZET,ENCFF066XDW,17.46,9.82,0.00130,0.05826,0.94,s3://chipmunk-encode-models/GM12878_MAZ_ENCFF308ZET_ENCFF066XDW-1.9.json
GM12878,MAZ,ENCFF962MLT,ENCFF066XDW,18.92,9.39,0.00127,0.04019,0.93,s3://chipmunk-encode-models/GM12878_MAZ_ENCFF962MLT_ENCFF066XDW-1.9.json
GM12878,MEF2C,ENCFF161DMX,ENCFF261ZWR,21.10,8.88,0.00041,0.01746,0.79,s3://chipmunk-encode-models/GM12878_MEF2C_ENCFF161DMX_ENCFF261ZWR-1.9.json
GM12878,MEF2C,ENCFF810SZD,ENCFF261ZWR,21.01,9.08,0.00043,0.03620,0.88,s3://chipmunk-encode-models/GM12878_MEF2C_ENCFF810SZD_ENCFF261ZWR-1.9.json
GM12878,MTA3,ENCFF390XDX,ENCFF413VUC,4.55,41.95,0.00128,0.03539,0.96,s3://chipmunk-encode-models/GM12878_MTA3_ENCFF390XDX_ENCFF413VUC-1.9.json
GM12878,MTA3,ENCFF712MCI,ENCFF413VUC,4.71,41.21,0.00130,0.05513,0.96,s3://chipmunk-encode-models/GM12878_MTA3_ENCFF712MCI_ENCFF413VUC-1.9.json
GM12878,MXI1,ENCFF128IWG,ENCFF079ZWK,17.79,9.88,0.00121,0.04773,0.88,s3://chipmunk-encode-models/GM12878_MXI1_ENCFF128IWG_ENCFF079ZWK-1.9.json
GM12878,MXI1,ENCFF305VDY,ENCFF079ZWK,16.13,10.70,0.00121,0.04509,0.96,s3://chipmunk-encode-models/GM12878_MXI1_ENCFF305VDY_ENCFF079ZWK-1.9.json
GM12878,MYB,ENCFF500UBO,ENCFF103IOJ,20.81,9.55,0.00014,0.00634,0.95,s3://chipmunk-encode-models/GM12878_MYB_ENCFF500UBO_ENCFF103IOJ-1.9.json
GM12878,MYB,ENCFF870DTP,ENCFF103IOJ,20.88,9.39,0.00015,0.00608,0.89,s3://chipmunk-encode-models/GM12878_MYB_ENCFF870DTP_ENCFF103IOJ-1.9.json
GM12878,NFATC1,ENCFF224MHM,ENCFF409QJU,4.65,41.48,0.00102,0.03827,0.94,s3://chipmunk-encode-models/GM12878_NFATC1_ENCFF224MHM_ENCFF409QJU-1.9.json
GM12878,NFATC1,ENCFF991DJH,ENCFF409QJU,4.31,43.07,0.00102,0.03491,0.95,s3://chipmunk-encode-models/GM12878_NFATC1_ENCFF991DJH_ENCFF409QJU-1.9.json
